time,x,y,filename,fringe,rx,ry,angle,cluster,,,Area of ellipse,
0.084990357,352,27,06240913_proc_01278.png,3.628021955,56,37,164.869128,7,,,6509.379978,1278
0.08505686,350,29,06240913_proc_01279.png,3.805900097,57,36,166.7602785,7,,,6446.548125,1279
0.08532287,359,28,06240913_proc_01283.png,2.700032711,47,33,167.424534,7,,,4872.610206,1283
0.085655383,350,21,06240913_proc_01288.png,3.082642078,55,39,174.5925717,7,,,6738.716242,1288
0.085987897,357,35,06240913_proc_01293.png,2.907009602,48,31,162.324594,7,,,4674.689869,1293
0.08632041,349,16,06240913_proc_01298.png,3.412168741,56,36,168.4024173,7,,,6333.45079,1298
0.086985436,344,30,06240913_proc_01308.png,3.276890755,54,34,175.5749292,7,,,5767.964112,1308
0.08758396,349,23,06240913_proc_01317.png,3.175916195,50,35,179.7790864,7,,,5497.787144,1317
0.088182483,350,21,06240913_proc_01326.png,3.202734947,48,33,169.1167441,7,,,4976.282763,1326
0.088248986,351,20,06240913_proc_01327.png,2.888483524,48,32,162.3511805,7,,,4825.486316,1327
0.088847509,349,17,06240913_proc_01336.png,2.451234102,42,30,178.0962711,7,,,3958.406744,1336
0.08911352,366,27,06240913_proc_01340.png,3.651310444,55,38,174.8395902,7,,,6565.928646,1340
0.089446033,342,20,06240913_proc_01345.png,2.876231909,44,30,159.7038897,7,,,4146.902303,1345
0.089512536,339,13,06240913_proc_01346.png,2.597770929,46,31,175.9939617,7,,,4479.911124,1346
0.090111059,345,23,06240913_proc_01355.png,2.515665054,48,31,176.4156388,7,,,4674.689869,1355
0.090709583,346,26,06240913_proc_01364.png,2.199054003,46,29,176.4077576,7,,,4190.8846,1364
0.090776086,342,21,06240913_proc_01365.png,2.054810762,44,30,3.51491097,7,,,4146.902303,1365
0.091308107,350,11,06240913_proc_01373.png,3.126558542,51,31,166.3681172,7,,,4966.857985,1373
0.091374609,344,17,06240913_proc_01374.png,2.322434187,43,26,176.4254431,7,,,3512.300587,1374
0.123495378,350,18,06240913_proc_01857.png,3.027437687,51,33,2.88336073,7,,,5287.300436,1857
0.125357452,341,18,06240913_proc_01885.png,2.542569637,46,35,178.4801936,7,,,5057.964172,1885
0.125423954,341,21,06240913_proc_01886.png,2.372671604,43,32,170.2004928,7,,,4322.831491,1886
0.128549578,344,16,06240913_proc_01933.png,2.336039543,44,30,173.5929295,7,,,4146.902303,1933
0.12861608,349,20,06240913_proc_01934.png,2.552824974,49,32,178.2129712,7,,,4926.017281,1934
0.129813128,351,25,06240913_proc_01952.png,2.823223114,49,33,169.3195905,7,,,5079.955321,1952
0.12987963,350,21,06240913_proc_01953.png,2.781547785,52,38,173.7587046,7,,,6207.787083,1953
0.130478154,349,25,06240913_proc_01962.png,2.719261646,46,34,168.9897274,7,,,4913.45091,1962
0.130544657,349,27,06240913_proc_01963.png,3.131408691,51,36,172.5469223,7,,,5767.964112,1963
0.131475693,365,30,06240913_proc_01977.png,3.11040616,49,36,170.4179652,7,,,5541.769441,1977
0.132074217,361,17,06240913_proc_01986.png,3.443596601,51,41,174.8478641,7,,,6569.070239,1986
0.132739243,363,15,06240913_proc_01996.png,3.87681818,53,39,158.1441682,7,,,6493.672015,1996
